OrgID,Charity Name,Address ,City,State,Zip,Website URL,Cause,Total Expenses,Total Net Assets
5996,Trail Blazers,394 Rogers Avenue ,Brooklyn,NY,11225,http://www.trailblazers.org/,"Youth Development, Shelter, and Crisis Services","$2,264,678 ","$2,142,636 "
9052,Trailnet,317 North 11th Street Suite 302,St. Louis,MO,63101,http://www.trailnet.org/,Environmental Protection and Conservation,"$1,030,305 ","$204,166 "
16553,Training Resources for the Environmental Community,221 Otero Street ,Santa Fe,NM,87501,https://www.trec.org/,Environmental Protection and Conservation,"$1,733,927 ","$905,032 "
16333,Transgender Law Center,PO Box 70976 ,Oakland,CA,94612,https://transgenderlawcenter.org/,Advocacy and Education,"$4,524,064 ","$3,900,929 "
13766,Transitions Homeless Recovery Center,2025 Main Street ,Columbia,SC,29201,http://www.transitionssc.org/,Homeless Services,"$2,821,817 ","$9,687,284 "
11724,Transportation Alternatives,111 John Street Suite 260,New York,NY,10038,http://www.transalt.org/,Environmental Protection and Conservation,"$3,929,151 ","$822,941 "
16079,Travis Manion Foundation,164 East State Street ,Doylestown,PA,18901,http://www.travismanion.org,Social Services,"$6,879,808 ","$757,682 "
17067,Tread Lightly!,500 North Marketplace Drive Suite #240,Centerville,UT,84014,https://www.treadlightly.org/,Environmental Protection and Conservation,"$1,947,586 ","$614,239 "
16783,Treasure Coast Food Bank,401 Angle Road ,Fort Pierce,FL,34947,https://stophunger.org/,"Food Banks, Food Pantries, and Food Distribution","$22,246,984 ","$6,606,204 "
9373,Treatment Action Group,90 Broad Street Suite 2503 ,New York,NY,10004,http://www.treatmentactiongroup.org/,"Diseases, Disorders, and Disciplines","$2,510,963 ","$3,254,849 "
10200,Treatment Advocacy Center,200 North Glebe Road Suite 801,Arlington,VA,22203,https://www.treatmentadvocacycenter.org/,Advocacy and Education,"$1,852,391 ","$718,155 "
6102,Tree House Humane Society,7225 N. Western Ave ,Chicago,IL,60645,http://www.treehouseanimals.org,"Animal Rights, Welfare, and Services","$2,580,650 ","$6,670,979 "
11136,"TreeHouse, Inc.",5757 Wayzata Boulevard ,St. Louis Park,MN,55416,https://treehousehope.org/,"Youth Development, Shelter, and Crisis Services","$5,598,569 ","$2,252,234 "
10119,"Treehouse, Washington",2100 24th Avenue South Suite 200,Seattle,WA,98144,http://www.treehouseforkids.org,Children's and Family Services,"$12,287,649 ","$14,717,067 "
4571,TreePeople,12601 Mulholland Drive ,Beverly Hills,CA,90210,http://www.treepeople.org,Environmental Protection and Conservation,"$6,222,274 ","$6,284,761 "
7205,Trees Atlanta,"225 Chester Avenue, SE ",Atlanta,GA,30316,https://treesatlanta.org/,Environmental Protection and Conservation,"$4,244,024 ","$11,488,150 "
6366,Trees for Houston,104 North Greenwood Street ,Houston,TX,77011,http://www.treesforhouston.org/,Environmental Protection and Conservation,"$1,501,018 ","$2,196,125 "
7059,Trees for Life,3006 West St. Louis Street ,Wichita,KS,67203,http://www.treesforlife.org,Development and Relief Services,"$491,572 ","$678,439 "
11443,Trees for the Future,1400 Spring Street  Suite 150,Silver Spring,MD,20910,http://www.trees.org,Development and Relief Services,"$2,687,170 ","$2,097,489 "
5346,Trees Forever,80 West Eighth Avenue ,Marion,IA,52302,http://www.treesforever.org,Environmental Protection and Conservation,"$1,803,103 ","$292,635 "
8391,"Trees, Water & People",633 Remington Street ,Fort Collins,CO,80524,http://www.treeswaterpeople.org/,Environmental Protection and Conservation,"$1,260,653 ","$1,104,307 "
10001,Trenton Area Soup Kitchen,72 1/2 Escher Street ,Trenton,NJ,8609,http://www.trentonsoupkitchen.org/,Social Services,"$3,215,313 ","$7,539,321 "
10238,Tri County Humane Society,21287 Boca Rio Road ,Boca Raton,FL,33433,http://www.tricountyanimalrescue.com,"Animal Rights, Welfare, and Services","$1,920,035 ","$7,955,969 "
17402,Tri Lakes Cares,235 North Jefferson Street ,Monument,CO,80132,https://tri-lakescares.org/,Social Services,"$1,272,627 ","$628,845 "
