OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Expenses,Total Net Assets
14046,United Way of Yellowstone County,2173 Overland Ave ,Billings,MT,59102,http://www.unitedwayyellowstone.org/,Community Development,United Ways,2072504,2826638
15536,"United Way of York County, Maine",36 Water Street ,Kennebunk,ME,4043,http://www.buildcommunity.org/,Community Development,United Ways,1454103,1285785
12817,"United Way of York County, Pennsylvania",800 East King Street ,York,PA,17403,http://www.unitedway-york.org/,Community Development,United Ways,6592041,5821910
14823,"United Way of York County, South Carolina",226 Northpark Drive Suite 100,Rock Hill,SC,29731,http://www.unitedwayofyc.org/,Community Development,United Ways,1717115,1406796
18277,United Way St. Croix Valley,201 Second Street South Suite 300,Hudson,WI,54016,https://www.unitedwaystcroix.org/,Community Development,United Ways,1170334,368049
5561,United Way Suncoast,5201 West Kennedy Boulevard Suite 600,Tampa,FL,33609,http://www.unitedwaysuncoast.org,Community Development,United Ways,20911261,34950219
17364,United Way Tar River Region,2501 Sunset Avenue ,Rocky Mount,NC,27804,https://www.unitedwaytrr.org/,Community Development,United Ways,1330400,1701585
4629,United Way Worldwide,701 North Fairfax Street ,Alexandria,VA,22314,https://www.unitedway.org/,Community Development,United Ways,231423028,50619517
12518,Unity Productions Foundation,P.O. Box 650458 ,Potomac Falls,VA,20165,http://www.upf.tv,Religion,Religious Media and Broadcasting,3111072,3045735
11451,Unity Shoppe,110 West Sola Street ,Santa Barbara,CA,93101,http://www.unityshoppe.org,Human Services,Social Services,3938546,6840376
15329,University City Children's Center,6646 Vernon Avenue ,University City,MO,63130,http://www.uccc.org/,Human Services,Children's and Family Services,4595945,1691556
9151,University City District,3940 Chestnut Street ,Philadelphia,PA,19104,http://universitycity.org,Community Development,Housing and Neighborhood Development,9665372,10429583
15955,University District Food Bank,1413 Northeast 50th Street ,Seattle,WA,98105,http://www.udistrictfoodbank.org/,Human Services,"Food Banks, Food Pantries, and Food Distribution",3511798,3711256
8353,University Musical Society,881 North University Avenue ,Ann Arbor,MI,48109,http://www.ums.org/,"Arts, Culture, Humanities",Performing Arts,9576919,26898380
12925,University of Maryland Alumni Association,The Samuel Riggs IV Alumni Center 7801 Alumni Drive,College Park,MD,20742,http://alumni.umd.edu/,Education,Scholarship and Financial Support,4312625,2765280
14811,University of Minnesota Alumni Association,200 Oak Street SE Suite 200,Minneapolis,MN,55455,http://www.umnalumni.org/,Education,Scholarship and Financial Support,5092664,20245413
12926,University System of Maryland Foundation,3300 Metzerott Road ,Adelphi,MD,20783,http://www.usmf.org/,Education,Scholarship and Financial Support,31473092,364715559
17779,UNRWA USA National Committee,1875 Connecticut Avenue NW 10th Floor,Washington,DC,20009,https://www.unrwausa.org/,International,Development and Relief Services,4331469,150323
13163,Upper Valley Haven,713 Hartford Avenue ,White River Junction,VT,5001,http://www.uppervalleyhaven.org,Human Services,Homeless Services,5884224,5189523
6092,Upper Valley Humane Society,300 Old Route 10 ,Enfield,NH,3748,http://www.uvhs.org/,Animals,"Animal Rights, Welfare, and Services",897681,1162811
