OrgID,charity_name,cause,category,address,City,state,zip,web_url,total_expenses,total_net_assets,class
17036,Resilience: Advocates for Ending Violence,Social Services,Human Services,411 Butternut Drive ,Holland,MI,49424,https://resiliencemi.org,"$2,829,098","$5,283,824",1
10281,"RESIST, INC.",Advocacy and Education,Human and Civil Rights,PO Box 301240 ,Jamaica Plain,MA,2130,http://resist.org/,"$1,388,901","$729,426",2
13898,ReSOURCE,Social Services,Human Services,266 Pine Street ,Burlington,VT,5401,http://resourcevt.org/,"$4,316,554","$1,672,876",1
16535,Resource and Crisis Center of Galveston County,Social Services,Human Services,1802 Broadway Street Suite 122,Galveston,TX,77550,https://www.rccgc.org/,"$2,753,368","$6,482,975",1
5695,Resource Center ,Treatment and Prevention Services,Health,5750 Cedar Springs Road ,Dallas,TX,75235,http://myresourcecenter.org/,"$8,813,567","$10,472,236",0
10834,Resource Central,Environmental Protection and Conservation,Environment,2639 Spruce Street ,Boulder,CO,80302,http://www.resourcecentral.org/,"$2,499,984","$686,160",1
5589,Resource Exchange International (REI),Development and Relief Services,International,5527 North Union Boulevard Suite 200,Colorado Springs,CO,80918,http://ResourceExchangeInternational.org,"$1,498,726","$671,722",2
13989,Resource Media,Public Broadcasting and Media,"Arts, Culture, Humanities",1111 Broadway ,Oakland,CA,94607,http://www.resource-media.org/,"$4,762,285","$1,549,297",0
4397,Resources for the Future,Environmental Protection and Conservation,Environment,"1616 P Street, NW Suite 600",Washington,DC,20036,http://www.rff.org,"$14,303,137","$61,255,213",1
14064,Resourcing Christian Education International,Religious Activities,Religion,209 E. Liberty Drive ,Wheaton,IL,60187,http://www.rce-international.org/,"$7,187,700","$2,769,950",2
7814,Respiratory Health Association,"Diseases, Disorders, and Disciplines",Health,1440 West Washington Boulevard ,Chicago,IL,60607,http://www.resphealth.org/,"$2,704,485","$2,539,168",0
10067,reStart,Homeless Services,Human Services,918 East 9th Street ,Kansas City,MO,64106,http://www.restartinc.org/,"$6,489,961","$2,968,611",1
10437,Restless Legs Syndrome Foundation,"Diseases, Disorders, and Disciplines",Health,3006 Bee Caves Road Suite D206,Austin,TX,78746,http://www.rls.org/,"$830,416","$378,549",0
