OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Revenue,Total Expenses,Fundraising Expenses,CEO Salary,Total Net Assets
14266,Ronald McDonald House Charities of Madison,2716 Marshall Court ,Madison,WI,53705,http://www.rmhcmadison.org/,Health,Patient and Family Support,"$5,430,109","$1,665,427","$581,208","$96,000","$15,074,182"
13704,Ronald McDonald House Charities of Memphis,535 Alabama Avenue ,Memphis,TN,38105,http://www.rmhc-memphis.org/,Health,Patient and Family Support,"$4,110,611","$3,535,806","$474,317","$148,277","$21,596,610"
18453,Ronald McDonald House Charities of Mid-Missouri,3501 Lansing Avenue ,Columbia,MO,65201,HTTP://WWW.RMHCMIDMO.ORG,Health,Patient and Family Support,"$1,021,413","$939,595","$105,693","$85,000","$4,598,929"
17331,Ronald McDonald House Charities of New England Inc.,45 Gay Street ,Providence,RI,2905,https://rmhcne.org,Health,Patient and Family Support,"$1,209,001","$1,748,018","$468,329","$150,590","$9,199,939"
13190,Ronald McDonald House Charities of New Mexico,1011 Yale Boulevard NE ,Albuquerque,NM,87106,http://www.rmhc-nm.org,Health,Patient and Family Support,"$1,664,719","$1,559,331","$263,993","$33,070","$8,649,933"
15830,Ronald McDonald House Charities of North Carolina,8480 Honeycutt Road Suite 200,Raleigh,NC,27615,http://rmhcofnc.org/,Health,Patient and Family Support,"$953,483","$859,842","$10,345",$0,"$793,460"
18464,Ronald McDonald House Charities of North Central Florida,1600 Southwest 14th Street ,Gainesville,FL,32608,https://www.rmhcncf.org/,Health,Patient and Family Support,"$1,194,044","$1,136,286","$142,894","$89,286","$2,645,436"
16516,Ronald McDonald House Charities of Northern California,2555 49th Street ,Sacramento,CA,95817,http://www.rmhcnc.org/,Health,Patient and Family Support,"$3,560,748","$2,841,292","$1,068,530","$127,210","$17,695,540"
13248,Ronald McDonald House Charities of Northwest Florida,5200 Bayou Boulevard ,Pensacola,FL,32503,http://rmhc-nwfl.org/,Health,Patient and Family Support,"$1,666,636","$1,578,966","$211,471","$94,724","$6,734,423"
14582,Ronald McDonald House Charities of Oklahoma City,1301 Northeast Fourteenth Street ,Oklahoma City,OK,73117,http://www.rmhcokc.org/,Health,Patient and Family Support,"$6,137,143","$1,552,294","$401,069","$167,846","$11,601,840"
9767,Ronald McDonald House Charities of Oregon and Southwest Washington,2620 North Commercial Avenue ,Portland,OR,97227,http://www.rmhcoregon.org/,Health,Patient and Family Support,"$5,870,531","$4,230,998","$944,690","$174,650","$17,029,659"
14249,Ronald McDonald House Charities of Pittsburgh and Morgantown,The Plaza Building 451 44th Street,Pittsburgh,PA,15201,http://www.rmhcpgh.org/,Health,Patient and Family Support,"$2,151,714","$2,418,675","$478,743","$133,973","$10,362,885"
9394,Ronald McDonald House Charities of Rochester,333 Westmoreland Drive ,Rochester,NY,14620,http://www.rmhcrochester.org,Health,Patient and Family Support,"$1,127,725","$2,447,128","$578,955","$171,264","$9,637,118"
16523,Ronald McDonald House Charities of San Antonio Texas,4803 Sid Katz Drive ,San Antonio,TX,78229,http://www.rmhcsanantonio.org/,Health,Patient and Family Support,"$5,857,852","$1,746,369","$84,032","$179,500","$11,706,612"
10483,Ronald McDonald House Charities of San Diego,2929 Children's Way ,San Diego,CA,92123,http://www.rmhcsd.org/,Health,Patient and Family Support,"$8,579,012","$7,746,633","$1,325,763","$243,056","$25,326,853"
8486,Ronald McDonald House Charities of South Florida,1145 NW 14 Terrace ,Miami,FL,33136,http://rmhcsouthflorida.org,Health,Patient and Family Support,"$1,366,559","$1,913,183","$247,198","$98,000","$7,371,291"
9882,Ronald McDonald House Charities of Southeastern Michigan,4707 St. Antoine Street Suite 200,Detroit,MI,48201,http://www.rmhc-detroit.org/,Health,Patient and Family Support,"$2,000,721","$2,115,145","$266,115","$142,380","$8,305,851"
10462,Ronald McDonald House Charities of Southern Arizona,2155 E Allen Rd ,Tucson,AZ,85719,https://rmhctucson.org/,Health,Patient and Family Support,"$1,825,631","$1,566,128","$352,556","$112,689","$10,708,567"
6459,Ronald McDonald House Charities of Southern California,4560 Fountain Avenue ,Los Angeles,CA,90029,http://www.rmhcsc.org/,Health,Patient and Family Support,"$16,843,936","$13,088,479","$1,991,137","$274,629","$73,971,501"
16284,Ronald McDonald House Charities of Southwest Florida,16100 Roserush Court ,Fort Myers,FL,33908,http://www.rmhcswfl.org/,Health,Patient and Family Support,"$1,332,168","$1,070,256","$209,830","$97,336","$4,843,334"
7836,Ronald McDonald House Charities of St. Louis,4381 West Pine Boulevard ,St. Louis,MO,63108,https://rmhcstl.com/,Health,Patient and Family Support,"$5,725,008","$4,587,097","$960,576","$209,226","$15,749,000"
8044,Ronald McDonald House Charities of Tampa Bay,35 Davis Boulevard ,Tampa,FL,33606,https://rmhctampabay.org/,Health,Patient and Family Support,"$3,837,188","$3,347,188","$336,225","$105,240","$14,908,471"
17405,Ronald McDonald House Charities of the Capital Region,139 South Lake Avenue ,Albany,NY,12208,https://rmhcofalbany.org/,Health,Patient and Family Support,"$2,644,710","$2,826,653","$525,118","$139,692","$4,681,955"
18621,Ronald McDonald House Charities of the Carolinas,706 Grove Road ,Greenville,SC,29605,https://rmhc-carolinas.org/,Health,Patient and Family Support,"$1,519,634","$1,006,692","$168,323","$97,906","$7,036,195"
9782,Ronald McDonald House Charities of the Central Valley,9161 Randall Way ,Madera,CA,93636,http://rmhccv.org/,Health,Patient and Family Support,"$1,823,416","$1,603,472","$301,401","$110,415","$9,734,551"
14231,Ronald McDonald House Charities of the Intermountain Area,935 East South Temple ,Salt Lake City,UT,84102,http://rmhcslc.org,Health,Patient and Family Support,"$6,695,075","$3,615,190","$500,098","$113,514","$19,335,885"
17461,Ronald McDonald House Charities of the Miami Valley Region,555 Valley Street ,Dayton,OH,45404,https://rmhcdayton.org,Health,Patient and Family Support,"$1,390,739","$1,723,178","$254,410","$104,577","$3,270,865"
15019,Ronald McDonald House Charities of the Ozarks,949 East Primrose Street ,Springfield,MO,65807,http://www.rmhcozarks.org/,Health,Patient and Family Support,"$1,386,588","$1,551,670","$226,370","$108,226","$4,917,674"
8813,Ronald McDonald House Charities of the Philadelphia Region,3925 Chestnut Street ,Philadelphia,PA,19104,http://www.philarmh.org,Health,Patient and Family Support,"$19,660,901","$5,878,570","$637,187","$179,615","$32,031,905"
18342,Ronald McDonald House Charities of the Red River Valley,"4757 Agassiz Crossing, S ",Fargo,ND,58104,https://rmhcfargo.org/,Health,Patient and Family Support,"$1,281,685","$811,976","$179,817","$62,871","$6,560,069"
6178,Ronald McDonald House Charities of the Upper Midwest,"818 Fulton Street, SE ",Minneapolis,MN,55414,http://www.rmhtwincities.org/,Health,Patient and Family Support,"$7,074,481","$5,468,904","$599,170","$189,284","$19,383,159"
8503,Ronald McDonald House Charities of Western Washington & Alaska,"5130 40th Avenue, NE ",Seattle,WA,98105,http://www.rmhcseattle.org/,Health,Patient and Family Support,"$5,688,426","$4,254,930","$539,807","$180,636","$31,743,523"
18666,Ronald McDonald House Charities Wichita,551 North Hillside Suite 102,Wichita,KS,67214,https://rmhcwichita.org/,Health,Patient and Family Support,"$2,325,430","$1,220,467","$223,245","$164,390","$11,501,818"
4409,"Ronald McDonald House Charities, Inc.",110 N. Carpenter ,Chicago,IL,60607,https://www.rmhc.org/,Health,Patient and Family Support,"$147,534,686","$143,114,624","$4,754,490",$0,"$127,677,912"
