Total Expenses,Total Net Assests,Charity Name,Class
0.000664950903619264,0.0024064532945675377,Alabama Ballet,3
0.0004508680000070095,0.0032496469965018963,Alabama Law Foundation,1
0.0003018479194411831,0.0021245054163300165,Alabama Policy Institute,1
0.0027330569991876807,0.002772700770716417,Alabama Shakespeare Festival,3
0.0021552327398996368,0.0022600054964393764,Alabama Symphony Orchestra,3
0.0005506926194734447,0.0025468654195409564,Alachua Habitat for Humanity,3
0.02168266549512366,0.005356757537330553,Alameda County Community Food Bank,1
0.0004800693253333784,0.0027052051147429907,Alaqua Animal Refuge Inc.,1
0.0008225350357335459,0.00367645234509966,Alaska Conservation Foundation,1
0.0008761190880891822,0.002461234873599309,Alaska Wilderness League,1
0.0006839440728838796,0.003473880845414913,Albany Institute of History & Art,3
0.005456891487906069,0.03140429156612116,Albright-Knox Art Gallery,3
0.002100220097248329,0.01228380539632035,Albuquerque Community Foundation,1
0.00048256799649160835,0.004270911132889372,Albuquerque Museum Foundation,3
0.0001984473981931851,0.0022970931179104323,Aldersgate Renewal Ministries,3
0.001042689448102404,0.002107472200057353,Aleh,0
0.0012265605268655174,0.003618607508456888,Alexander Graham Bell Association for the Deaf and Hard of Hearing,1
0.008216987180018284,0.0037883881770125367,Alex's Lemonade Stand Foundation,3
0.001745951834133732,0.002208026612099203,Alfalit International,3
0.0009522824254349602,0.002661403331102541,Al-Furqaan Foundation,1
0.02188613372770442,0.006233806539596031,Alight (formerly American Refugee Committee),3
0.0005504107146200568,0.002295195557275387,Align Life Ministries,1
0.00035384710815850897,0.0023626228516352467,ALIGN: The Alliance for a Greater New York,1
0.0005885363032519882,0.002703851160400443,Alive & Free,5
0.0006783931348046072,0.0022486854705559183,ALIVE!,1
0.00131290103797636,0.0034170628790866995,All Classical Portland,1
0.007033876089843184,0.004060358940679264,All Faiths Food Bank,1
0.00042114099703132775,0.002122236073688881,All Florida Youth Orchestra,3
0.0005372422171329309,0.0022365315644515865,All God's Children,3
0.0017013727352409684,0.0021700543650556643,All God's Children International,3
0.005265314669352219,0.003971700238185889,All Hands and Hearts Smart Response,1
0.002159100079548953,0.0023910080396992465,All Hands Raised,1
0.001916215556284095,0.002430175563263073,All Our Kin,1
0.0004367935256903361,0.002418221614878424,All Stars Helping Kids,1
0.0034800156588885413,0.003427488025155639,All Stars Project,5
0.00023636223911467297,0.0022135178901735997,Allegan County United Way,1
0.00141313932217331,0.002342984926421046,Allen Community Outreach,0
0.0004789352370886497,0.0023497092113678327,Allen County SPCA,1
0.0011112294381387495,0.005510554603311072,Allentown Art Museum,3
0.0012164895781176714,0.002765617061439838,Allentown Rescue Mission,1
0.0012254022656200754,0.003738911722122834,Allentown Symphony Association,3
0.0008016478607933297,0.002164920933735362,Allergy & Asthma Network,1
0.0036543976432449198,0.0029261268434786943,Alley Cat Allies,1
0.0006978449101531764,0.0022629195416823036,Alley Cat Rescue,1
0.007021128406847347,0.012361902886840859,Alley Theatre,3
0.018611381912745393,0.005954892339425179,Alliance Defending Freedom,1
0.000982914724310592,0.002445234969408636,Alliance for Aging Research,1
0.0007151953367636894,0.0021958193313504327,Alliance for California Traditional Arts,3
0.0017381354432833924,0.002756057084176443,Alliance For Children,1
0.0004560127635813401,0.002317612907939645,Alliance for Children Everywhere,3
0.0019386433344387806,0.0035709066150149417,Alliance for Children's Rights,1
0.0007115956024462123,0.0021231522507753177,Alliance for Climate Education,1
0.0012290469412909912,0.003581441534059513,Alliance for Education,1
0.0019333412761274146,0.003183279701546247,Alliance for Justice,1
0.001202078043650208,0.0027445760141071784,Alliance For The Great Lakes,1
0.0005977673253412493,0.0025742986721360383,Alliance Medical Ministry,1
0.0004833830692198822,0.002181905245161397,Alliance of Confessing Evangelicals,1
0.0017077506623164721,0.005606392326946094,Alliance of Resident Theatres/New York,3
0.00043521479041840365,0.002132230673056992,Alliance to Protect Nantucket Sound,3
0.001423798594093444,0.0020830619768929808,Alliance to Save Energy,1
0.0012835213090954315,0.0026826609006997096,Allied Arts,3
0.00032223222787360463,0.00232814546062067,Allied Theatre Group Inc.,3
0.0011043224287659453,0.0033819716796610775,Aloha Council Boy Scouts of America,5
0.0057942696328181,0.004200578864346846,Aloha United Way,1
0.002901319128786029,0.00228493737130112,Alpha USA,3
0.0031262570715777146,0.005455637352769299,Alpha-1 Foundation,1
0.0016055686645832996,0.0027171340848457593,ALS Association Minnesota/North Dakota/South Dakota Chapter,1
0.004190744778421864,0.0038538044567517585,ALS Therapy Development Institute,1
0.4879008328207837,0.6992299082242355,ALSAC - St. Jude Children's Research Hospital,2
0.0011481909776236596,0.002209890780715314,Alternatives,5
0.0015362728426936677,0.002147917559936313,Alternatives in Action,1
0.0004579299208632576,0.0024938052385246544,Alternatives Incorporated of Madison County,0
0.0006067719383393232,0.0021557494344875243,Alternatives Pregnancy Center,1
0.0014512243954941868,0.004463849560970064,Alumni Association of Kansas State University,1
0.014905426323162366,0.026768329416784965,Alvin Ailey Dance Foundation,3
0.1316077598381492,0.036641749674040554,Alzheimer's Association,4
0.00029923859722335043,0.002582342073295382,Alzheimer's Disease Association of Kern County Inc.,0
0.0019100803806101198,0.0027359061839312077,Alzheimer's Family Center,0
0.002138342281232273,0.004708393645273782,Alzheimer's Foundation of America,1
0.00026835197114303167,0.002490644697078962,Alzheimer's Research & Prevention Foundation,3
0.000911848145002517,0.002183041756986945,Alzheimer's Services of the East Bay,1
0.0004564638794397206,0.0027159845580207046,Amador Community Foundation,1
0.0018017506100054177,0.003288957027737081,Amara,1
0.000968738451019084,0.004351922274258882,Amarillo Children's Home,5
0.0006375823003047158,0.003108622903622413,Amazement Square,3
0.001091891378032972,0.005052710321396501,Amazima Ministries,3
0.0010527185196800002,0.0030536804118694773,Amazing Place,0
0.0017085456476216181,0.0026512564956796027,Amazon Conservation Association,1
0.0022195393906279796,0.0030008521344807365,Amazon Conservation Team,1
0.0005329561057811178,0.00212525726261461,Amazon Watch,1
0.0003630886846565323,0.0021713460051581528,Ambassadors for Christ International - USA,3
0.0006572441424341309,0.0022531960224049137,Ambassadors for Christ International Ltd.,3
0.0008622686396101046,0.002908231745016523,America-Israel Cultural Foundation,3
0.0004587191182668244,0.0021635132103544515,America-Israel Friendship League,1
